name,label
prunus_spinosa,Prunus spinosa - Blackthorn 
pyrus_communis,Pyrus communis - Pear 
quercus_cerris,Quercus cerris - Turkey Oak
quercus_coccinea,Quercus coccinea - Scarlet Oak
quercus_palustris,Quercus palustris - Pin Oak
quercus_petraea,Quercus petraea - Sessile Oak
quercus_robur,Quercus robur - Pedunculate Oak
quercus_rubra,Quercus rubra - Red Oak
robinia_pseudoacacia,Robinia pseudoacacia - False-acacia 
salix_alba,Salix alba - White Willow
salix_caprea,Salix caprea - Goat Willow
salix_cinerea,Salix cinerea - Grey Willow
salix_fragilis,Salix fragilis - Crack-willow 
salix_viminalis,Salix viminalis - Osier 
sambucus_nigra,Sambucus nigra - Elder 
sambucus_racemosa,Sambucus racemosa - Red-berried Elder
sorbus_aria,Sorbus aria - Common Whitebeam
sorbus_aucuparia,Sorbus aucuparia - Rowan 
sorbus_intermedia,Sorbus intermedia - Swedish Whitebeam
sorbus_sargentiana,Sorbus sargentiana - Sargent's Rowan
sorbus_torminalis,Sorbus torminalis - Wild Service-tree
syringa_vulgaris,Syringa vulgaris - Lilac 
taxodium_distichum,Taxodium distichum - Swamp Cypress
taxus_baccata,Taxus baccata - Yew 
thuja_plicata,Thuja plicata - Western Red-cedar
tilia_cordata,Tilia cordata - Small-leaved Lime
tilia_platyphyllos,Tilia platyphyllos - Large-leaved Lime
trachycarpus_fortunei,Trachycarpus fortunei - Chusan Palm
tsuga_heterophylla,Tsuga heterophylla - Western Hemlock-spruce
ulex_europaeus,Ulex europaeus - Gorse 
ulmus_glabra,Ulmus glabra - Wych Elm
ulmus_minor,Ulmus minor - Field Elm
ulmus_procera,Ulmus procera - English Elm
umbellularia_californica,Umbellularia californica - Californian Bay
viburnum_rhytidophyllum,Viburnum rhytidophyllum - Wrinkled Viburnum
viburnum_tinus,Viburnum tinus - Laurustinus 
zelkova_serrata,Zelkova serrata - Japanese Elm
other,Other
